"ensgene","moduleMembership","GS.trait","symbol","chr","description","moduleName"
"ENSMUSG00000034825",0.827215996647005,-0.256810183702437,"Nrip3","7","nuclear receptor interacting protein 3","black"
"ENSMUSG00000051527",0.84629696392497,0.221531080493201,"Usp29","7","ubiquitin specific peptidase 29","black"
"ENSMUSG00000021514",0.828998910520245,0.200910528087067,"Zfp369","13","zinc finger protein 369","blue"
"ENSMUSG00000031450",0.823322364424969,-0.279922984452652,"Grk1","8","G protein-coupled receptor kinase 1","blue"
"ENSMUSG00000035754",0.855466193230046,-0.258489395516273,"Wdr18","10","WD repeat domain 18","blue"
"ENSMUSG00000040667",0.806904447735479,-0.233378564758296,"Nup88","11","nucleoporin 88","blue"
"ENSMUSG00000048038",0.855371258532295,0.25045719814707,"Ccdc187","2","coiled-coil domain containing 187","blue"
"ENSMUSG00000048620",0.853010080558336,0.203740391033906,"Olfr1336","7","olfactory receptor 1336","blue"
"ENSMUSG00000051160",0.896892161675669,0.220917594310653,"Olfr853","9","olfactory receptor 853","blue"
"ENSMUSG00000054666",0.817856273193938,0.220331169643063,"Olfr63","17","olfactory receptor 63","blue"
"ENSMUSG00000079419",0.805444192463777,-0.205011028941026,"Ms4a6c","19","membrane-spanning 4-domains, subfamily A, member 6C","blue"
"ENSMUSG00000090751",0.862053502401886,0.202578715726601,"Vmn2r63","7","vomeronasal 2, receptor 63","blue"
"ENSMUSG00000091407",0.844938930898067,0.275344316121396,"Vmn2r117","17","vomeronasal 2, receptor 117","blue"
"ENSMUSG00000091631",0.845746746203523,-0.209306350142585,"Vmn2r95","17","vomeronasal 2, receptor 95","blue"
"ENSMUSG00000094488",0.801857334234722,-0.261822296302661,"Olfr393","11","olfactory receptor 393","blue"
"ENSMUSG00000095448",0.822893338607093,0.202687580688307,"Olfr859","9","olfactory receptor 859","blue"
"ENSMUSG00000108994",0.86854074849536,-0.224215511123659,"Gm31663","7","predicted gene, 31663","blue"
"ENSMUSG00000000308",0.934632755815926,0.264168414883437,"Ckmt1","2","creatine kinase, mitochondrial 1, ubiquitous","brown"
"ENSMUSG00000004366",0.891900596230403,0.302875734797325,"Sst","16","somatostatin","brown"
"ENSMUSG00000004961",0.857137131278481,0.270023983976194,"Syt5","7","synaptotagmin V","brown"
"ENSMUSG00000005779",0.838638161998618,0.276899927400059,"Psmb4","3","proteasome (prosome, macropain) subunit, beta type 4","brown"
"ENSMUSG00000007021",0.845249166391803,0.214276068103232,"Syngr3","17","synaptogyrin 3","brown"
"ENSMUSG00000008489",0.813072468039083,0.310619850338458,"Elavl2","4","ELAV like RNA binding protein 1","brown"
"ENSMUSG00000011752",0.887798352785323,0.281100575000737,"Pgam1","19","phosphoglycerate mutase 1","brown"
"ENSMUSG00000014602",0.851739512507232,0.211138861350454,"Kif1a","1","kinesin family member 1A","brown"
"ENSMUSG00000014606",0.81632531271614,0.314515371496565,"Slc25a11","11","solute carrier family 25 (mitochondrial carrier oxoglutarate carrier), member 11","brown"
"ENSMUSG00000015291",0.862660303345748,0.245464041686803,"Gdi1","X","guanosine diphosphate (GDP) dissociation inhibitor 1","brown"
"ENSMUSG00000017781",0.84711018585737,0.365733515861816,"Pitpna","11","phosphatidylinositol transfer protein, alpha","brown"
"ENSMUSG00000019428",0.839961157404599,0.220493398011107,"Fkbp8","8","FK506 binding protein 8","brown"
"ENSMUSG00000020483",0.814451979803196,0.219834494481022,"Dynll2","11","dynein light chain LC8-type 2","brown"
"ENSMUSG00000020589",0.802771963947374,0.23484803583161,"Cyria","12","CYFIP related Rac1 interactor A","brown"
"ENSMUSG00000020720",0.812760539567163,0.427399916546551,"Psmd12","11","proteasome (prosome, macropain) 26S subunit, non-ATPase, 12","brown"
"ENSMUSG00000020817",0.838300955319741,0.296786966347979,"Rabep1","11","rabaptin, RAB GTPase binding effector protein 1","brown"
"ENSMUSG00000021087",0.877372011409209,0.210726857434755,"Rtn1","12","reticulon 1","brown"
"ENSMUSG00000021282",0.807504946091173,0.384905557779537,"Eif5","12","eukaryotic translation initiation factor 5","brown"
"ENSMUSG00000022043",0.823425966501823,0.326328116561459,"Trim35","14","tripartite motif-containing 35","brown"
"ENSMUSG00000022052",0.804610936593041,0.366689370148395,"Ppp2r2a","14","protein phosphatase 2, regulatory subunit B, alpha","brown"
