"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","direction"
"GO:0050808","synapse organization",0.107692307692308,0.0171444436732144,1.29723914265361e-14,4.07851986450295e-11,3.24173234174702e-11,"Pdzrn3/Itpka/Plxnd1/Erc2/Dlgap3/Unc13a/Sez6/Neurod2/Adgrb1/Nptxr/Nptx1/Numb/Wasf1/Pin1/Col4a1/Igf1r/Lrfn2/Pcdh17/Mef2c/Cacnb1/Nectin1/Cacnb3/Lrfn1/Palm/Cdkl5/Xlr3b/Reln/Homer1",28,"Up"
"GO:0007409","axonogenesis",0.0923076923076923,0.0171097383216492,2.68819849257683e-11,2.33134493214968e-08,1.85302426306527e-08,"Nr4a2/Rtn4rl1/Egr2/Rtn4r/Plxnd1/Lhx2/Nr4a3/Olfm1/Fezf2/Unc5a/Zic2/Prdm8/Unc5c/Bhlhe22/Nptx1/Numb/Igf1r/Nfib/Auts2/Mef2c/Nectin1/Robo3/Cdkl5/Reln",24,"Up"
"GO:0034765","regulation of ion transmembrane transport",0.0730769230769231,0.0172832650794753,1.61632902315009e-07,3.90902957598759e-05,3.1070162760796e-05,"Tesc/Coro1a/Fkbp1a/Kcnc4/Kcnv1/Ptpn3/Cnih2/Cnih3/Tspan13/Kcns1/Htr3a/Ptk2b/Mink1/Kcnj4/Mef2c/Cacnb1/Cacnb3/Reln/Homer1",19,"Up"
"GO:0034329","cell junction assembly",0.0692307692307692,0.0153050600402582,1.28065332677504e-07,3.35531171615062e-05,2.66690438400347e-05,"Fscn1/Plxnd1/Smad3/Cldn3/Adgrb1/Nptxr/Nptx1/Ptk2b/Numb/Nphp4/Grhl2/Pcdh17/Mef2c/Nectin1/Lrfn1/Actn1/Xlr3b/Reln",18,"Up"
"GO:0042391","regulation of membrane potential",0.0653846153846154,0.0162768098840841,1.4804535836223e-06,0.000226086786575996,0.000179700693495184,"Kcnmb4/Kcnc4/Ptpn3/Cnih2/Gabrd/Cnih3/Sez6/Htr3a/Ptk2b/Kcnk12/Gabra4/Mpp2/Cxadr/Hcrt/Mef2c/Cacnb3/Reln",17,"Up"
"GO:0007389","pattern specification process",0.0653846153846154,0.0170056222669536,2.66852344733484e-06,0.00033559350873683,0.000266739985851491,"Egr2/Lhx2/Eya1/Smad3/Nanog/Fezf2/Zic2/Neurod1/Bhlhe22/Ski/Pcsk5/Acvr2a/Nbl1/Emx1/Mef2c/Fuz/Reln",17,"Up"
"GO:0031644","regulation of nervous system process",0.0615384615384615,0.006732838203651,2.96608769993598e-11,2.33134493214968e-08,1.85302426306527e-08,"Egr2/Kcnc4/Dlgap3/Cnih2/Hgf/Nptx2/Cckbr/Vip/Nptxr/Nptx1/Ptk2b/Hcrt/Cacnb3/Dlgap2/Reln/Homer1",16,"Up"
"GO:0022604","regulation of cell morphogenesis",0.0615384615384615,0.0117304088290414,8.88483586848556e-08,3.10376933005762e-05,2.46697080137833e-05,"Coro1a/Itpka/Plxnd1/Palmd/Syt17/Unc13a/Cldn3/Cdc42se2/Fmnl1/Rreb1/Ptk2b/Numb/Palm/Cdkl5/Xlr3b/Reln",16,"Up"
"GO:0030900","forebrain development",0.0615384615384615,0.0138127299229541,7.93284161008313e-07,0.000138560300122785,0.00011013196480899,"Nr4a2/Rtn4rl1/Rtn4r/Lhx2/Nr4a3/Fezf2/Zic5/Prdm8/Neurod1/Inhba/Bhlhe22/Numb/Ski/Nfib/Emx1/Reln",16,"Up"
"GO:0007411","axon guidance",0.0576923076923077,0.00895398070382453,1.53503437138195e-08,6.352511163172e-06,5.04917018259352e-06,"Rtn4rl1/Egr2/Rtn4r/Plxnd1/Lhx2/Nr4a3/Fezf2/Unc5a/Zic2/Unc5c/Nfib/Mef2c/Nectin1/Robo3/Reln",15,"Up"
"GO:0097485","neuron projection guidance",0.0576923076923077,0.00898868605538974,1.61641505424224e-08,6.352511163172e-06,5.04917018259352e-06,"Rtn4rl1/Egr2/Rtn4r/Plxnd1/Lhx2/Nr4a3/Fezf2/Unc5a/Zic2/Unc5c/Nfib/Mef2c/Nectin1/Robo3/Reln",15,"Up"
"GO:1904062","regulation of cation transmembrane transport",0.0576923076923077,0.0132227389463455,2.27725998475575e-06,0.000311291538785743,0.00024742403678765,"Tesc/Coro1a/Fkbp1a/Ptpn3/Cnih2/Cnih3/Tspan13/Kcns1/Ptk2b/Mink1/Mef2c/Cacnb1/Cacnb3/Reln/Homer1",15,"Up"
"GO:0031346","positive regulation of cell projection organization",0.0576923076923077,0.0153744707433886,1.38564256308464e-05,0.00114643689956266,0.000911223114892781,"Fscn1/Itpka/Plxnd1/Hgf/Sez6/Rreb1/Ptk2b/Numb/Igf1r/Auts2/Fuz/Palm/Cdkl5/Xlr3b/Reln",15,"Up"
"GO:0048608","reproductive structure development",0.0576923076923077,0.0167973901575623,3.84639790015785e-05,0.0024679744894074,0.0019616216143877,"Junb/Tesc/Kitl/Tiparp/Tex15/Zfpm2/Ptgs2/Nanog/Lhx9/Inhba/Igf1r/Acvr2a/Grhl2/Synb/Plcd1",15,"Up"
"GO:0061458","reproductive system development",0.0576923076923077,0.0169362115638231,4.22278000241108e-05,0.00252679308587046,0.00200837243399507,"Junb/Tesc/Kitl/Tiparp/Tex15/Zfpm2/Ptgs2/Nanog/Lhx9/Inhba/Igf1r/Acvr2a/Grhl2/Synb/Plcd1",15,"Up"
"GO:0060537","muscle tissue development",0.0576923076923077,0.0171097383216492,4.73857085284653e-05,0.00266036906452669,0.00211454270764242,"Fos/Egr2/Tiparp/Eya1/Zfpm2/Fkbp1a/Smad3/Msc/Tshz3/Ski/Pin1/Cxadr/Synb/Mef2c/Homer1",15,"Up"
"GO:0021537","telencephalon development",0.0538461538461538,0.00895398070382453,1.09818098988548e-07,3.29104564940372e-05,2.61582374838772e-05,"Rtn4rl1/Rtn4r/Lhx2/Nr4a3/Fezf2/Prdm8/Neurod1/Inhba/Bhlhe22/Numb/Ski/Nfib/Emx1/Reln",14,"Up"
"GO:0032412","regulation of ion transmembrane transporter activity",0.0538461538461538,0.00950926632886791,2.29226566597982e-07,5.14777375274325e-05,4.091608038373e-05,"Tesc/Fkbp1a/Ptpn3/Cnih2/Cnih3/Kcns1/Htr3a/Ptk2b/Mink1/Mef2c/Cacnb1/Cacnb3/Reln/Homer1",14,"Up"
