"ensgene","kTotal","kWithin","kOut","kDiff","symbol","module"
"ENSMUSG00000000355",130.922970098325,28.1882921635564,102.734677934769,-74.5463857712126,"Mcts1","yellow"
"ENSMUSG00000000740",112.988083112844,52.0155044845918,60.9725786282526,-8.95707414366083,"Rpl13","pink"
"ENSMUSG00000000983",74.4648830582365,33.5060670218277,40.9588160364088,-7.45274901458109,"Wfdc18","turquoise"
"ENSMUSG00000001054",153.060076310668,26.1214215584793,126.938654752188,-100.817233193709,"Rmnd5b","green"
"ENSMUSG00000001119",248.698931305982,163.556885244038,85.1420460619435,78.4148391820947,"Col6a1","turquoise"
"ENSMUSG00000001323",141.280059583225,79.2711901781718,62.0088694050529,17.2623207731188,"Srr","turquoise"
"ENSMUSG00000001496",152.45501773559,33.9049653073122,118.550052428278,-84.6450871209661,"Nkx2-1","brown"
"ENSMUSG00000001627",51.9160079934384,27.4951436827742,24.4208643106642,3.07427937211002,"Ifrd1","turquoise"
"ENSMUSG00000001911",183.503735061607,25.3677405553981,158.135994506209,-132.768253950811,"Nfix","magenta"
"ENSMUSG00000002107",351.297587229523,222.349792527946,128.947794701577,93.4019978263694,"Celf2","turquoise"
"ENSMUSG00000003352",297.389605476683,204.599245111289,92.790360365394,111.808884745895,"Cacnb3","turquoise"
"ENSMUSG00000003534",72.3602914206483,30.3762720249147,41.9840193957336,-11.6077473708189,"Ddr1","pink"
"ENSMUSG00000003545",254.243648005403,158.391537013612,95.8521109917907,62.5394260218212,"Fosb","turquoise"
"ENSMUSG00000004056",74.7595897929145,32.6673622635008,42.0922275294138,-9.424865265913,"Akt2","turquoise"
"ENSMUSG00000004127",135.793399649025,51.2991092117936,84.4942904372314,-33.1951812254377,"Trmt10a","brown"
"ENSMUSG00000004383",261.562522845859,150.649106893783,110.913415952077,39.7356909417061,"Large1","turquoise"
"ENSMUSG00000004842",141.179365932433,44.3599661323174,96.8193998001158,-52.4594336677984,"Pou1f1","brown"
"ENSMUSG00000005089",264.410805738763,174.054455130158,90.3563506086051,83.6981045215526,"Slc1a2","turquoise"
"ENSMUSG00000005442",105.331327322711,49.1659007045883,56.1654266181231,-6.99952591353484,"Cic","turquoise"
"ENSMUSG00000005583",412.703561078303,269.102052640205,143.601508438098,125.500544202106,"Mef2c","turquoise"
"ENSMUSG00000005716",106.232962883344,56.9449504102699,49.2880124730736,7.65693793719622,"Pvalb","turquoise"
"ENSMUSG00000006024",95.5024182332187,55.3426305768564,40.1597876563623,15.1828429204941,"Napa","turquoise"
"ENSMUSG00000006435",357.400412618246,235.086024227649,122.314388390597,112.771635837052,"Neurl1a","turquoise"
"ENSMUSG00000006476",316.256514671839,203.883587758894,112.372926912945,91.5106608459495,"Nsmf","turquoise"
"ENSMUSG00000006651",151.214303028411,33.3648274367121,117.849475591699,-84.484648154987,"Aplp1","green"
"ENSMUSG00000006930",314.884373088003,83.6991649388473,231.185208149155,-147.486043210308,"Hap1","blue"
"ENSMUSG00000006958",139.140499819392,66.7771854135339,72.363314405858,-5.58612899232412,"Chrd","turquoise"
"ENSMUSG00000007207",374.865360512202,249.29341882417,125.571941688032,123.721477136137,"Stx1a","turquoise"
"ENSMUSG00000007656",392.503601004349,264.385445977272,128.118155027077,136.267290950196,"Arpp19","turquoise"
"ENSMUSG00000007682",239.468822293259,147.460502357746,92.0083199355139,55.4521824222316,"Dio2","turquoise"
"ENSMUSG00000007944",338.853798711212,221.200766214878,117.653032496335,103.547733718543,"Ttc9b","turquoise"
"ENSMUSG00000008136",293.354296876337,190.5911677646,102.763129111737,87.8280386528637,"Fhl2","turquoise"
"ENSMUSG00000008206",91.7831532802839,27.1947145773039,64.58843870298,-37.3937241256761,"Cers4","blue"
"ENSMUSG00000008604",229.166958221287,127.324752512635,101.842205708652,25.4825468039823,"Ubqln4","turquoise"
"ENSMUSG00000009013",291.505964229694,141.615710311918,149.890253917776,-8.27454360585762,"Dynll1","turquoise"
"ENSMUSG00000009394",138.45223699761,42.4071303997162,96.0451065978937,-53.6379761981775,"Syn2","turquoise"
"ENSMUSG00000009739",157.557181010338,97.1397654117312,60.4174155986073,36.7223498131239,"Pou6f1","turquoise"
"ENSMUSG00000010086",79.2635736952476,37.1268272698283,42.1367464254193,-5.00991915559104,"Rnf112","turquoise"
"ENSMUSG00000010803",103.612661225089,51.3177715087652,52.2948897163242,-0.977118207559002,"Gabra1","turquoise"
"ENSMUSG00000011752",165.8886607445,34.8133004568561,131.075360287644,-96.2620598307877,"Pgam1","yellow"
"ENSMUSG00000011877",200.643144829534,126.272295962984,74.3708488665499,51.9014470964339,"Git1","turquoise"
"ENSMUSG00000013089",198.080022421432,25.9428303151596,172.137192106272,-146.194361791113,"Etv5","magenta"
"ENSMUSG00000013353",107.486403516688,38.2038963254104,69.2825071912776,-31.0786108658671,"4931406B18Rik","brown"
"ENSMUSG00000013419",178.521625971757,119.155594822199,59.3660311495575,59.7895636726417,"Zfp651","turquoise"
"ENSMUSG00000013663",149.940326739418,56.1466129175721,93.7937138218458,-37.6471009042737,"Pten","turquoise"
"ENSMUSG00000015143",172.504961475624,111.859573568117,60.6453879075068,51.2141856606099,"Actn1","turquoise"
"ENSMUSG00000015312",236.12208920667,144.178228113117,91.9438610935532,52.2343670195639,"Gadd45b","turquoise"
"ENSMUSG00000015653",129.231056451101,41.0565696442987,88.1744868068027,-47.117917162504,"Steap2","brown"
"ENSMUSG00000016763",112.056505759405,29.4687949419392,82.587710817466,-53.1189158755268,"Scube1","turquoise"
"ENSMUSG00000017119",162.787050103255,49.1602153314762,113.626834771779,-64.4666194403031,"Nbr1","turquoise"
"ENSMUSG00000017466",164.479716886685,37.2315191794039,127.248197707281,-90.0166785278771,"Timp2","blue"
"ENSMUSG00000018547",140.707767613445,27.2549871760178,113.452780437427,-86.1977932614093,"Pip4k2b","green"
"ENSMUSG00000018796",65.6543090684181,27.33255611965,38.3217529487681,-10.9891968291182,"Acsl1","turquoise"
"ENSMUSG00000018849",120.002953655672,69.1777400754977,50.8252135801744,18.3525264953232,"Wwc1","turquoise"
"ENSMUSG00000019087",77.6336897658501,36.6145537364215,41.0191360294286,-4.40458229300704,"Atp6ap1","pink"
