"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","module"
"GO:0006397","mRNA processing",0.0544918998527246,0.0163809259387798,2.26475348984006e-10,5.01189947301604e-07,4.07298035514919e-07,"Hnrnpa2b1/Wdr83/Hnrnph1/Srsf6/Snrpf/Slu7/Ddx5/Srsf5/Hnrnpk/Zcrb1/Ncbp2/Hnrnpll/Srsf7/Alyref/Cdc73/Khdc4/Rprd2/Psip1/Ppie/Ddx47/U2af2/Gpkow/Srsf2/Rbm17/Sf3b6/Ramac/Cd2bp2/Zrsr1/Pcbp1/Cstf2t/Cpsf6/Npm1/Hnrnpa3/Snrpa/Prpf4/Mfap1a/Rbm15b",37,"green"
"GO:0006914","autophagy",0.0515463917525773,0.0161032831262581,1.92379922376081e-09,1.47525112761725e-06,1.19888056295767e-06,"Akt1/Atg4d/Ulk2/Map2k1/Pip4k2b/Fis1/Rab1a/Rnf185/Hif1a/Atg3/Snap29/Tfeb/Vps51/Fundc1/Tollip/Rnf41/Snca/Sec16a/Sec22b/Cisd2/Tmem59/Stx12/Mfn2/2610002M06Rik/Snx14/Pik3c3/Plekhm1/Atg9b/Foxk2/Wdr41/Smcr8/Foxk1/Mapk3/Ddrgk1/Syt11",35,"green"
"GO:0061919","process utilizing autophagic mechanism",0.0515463917525773,0.0161032831262581,1.92379922376081e-09,1.47525112761725e-06,1.19888056295767e-06,"Akt1/Atg4d/Ulk2/Map2k1/Pip4k2b/Fis1/Rab1a/Rnf185/Hif1a/Atg3/Snap29/Tfeb/Vps51/Fundc1/Tollip/Rnf41/Snca/Sec16a/Sec22b/Cisd2/Tmem59/Stx12/Mfn2/2610002M06Rik/Snx14/Pik3c3/Plekhm1/Atg9b/Foxk2/Wdr41/Smcr8/Foxk1/Mapk3/Ddrgk1/Syt11",35,"green"
"GO:0008380","RNA splicing",0.0500736377025037,0.0140209620323454,1.91380780006867e-10,5.01189947301604e-07,4.07298035514919e-07,"Hnrnpa2b1/Wdr83/Hnrnph1/Srsf6/Snrpf/Clk4/Slu7/Ddx5/Srsf5/Hnrnpk/Zcrb1/Ncbp2/Hnrnpll/Srsf7/Alyref/Clk1/Khdc4/Psip1/Ppie/Ddx47/U2af2/Gpkow/Srsf2/Rbm17/Sf3b6/Cd2bp2/Zrsr1/Rbm12b2/Npm1/Hnrnpa3/Snrpa/Prpf4/Mfap1a/Rbm15b",34,"green"
"GO:0051656","establishment of organelle localization",0.04860088365243,0.0148191851183452,3.06904699198443e-09,1.9405145695033e-06,1.57698249197155e-06,"Map2k1/Kit/Chp1/Tsg101/Ubb/Cep83/Rab1a/Actr2/Ube2b/Pafah1b1/Hif1a/Snca/Trak2/Actr3/Kif5c/Sec16a/Gpsm2/Copg1/2610002M06Rik/Lamp1/Map4/Pdcd6ip/Sun1/Mis12/Actn4/Npm1/Abce1/Ap3b2/Syt11/Eml3/Ap1ar/F8a/Nup62",33,"green"
"GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process",0.0471281296023564,0.0149233011730409,1.31435761524351e-08,6.0146182278391e-06,4.88785180501016e-06,"Araf/Akt1/Rad23a/Peli1/Ube2b/Rnf185/Nemf/Psmc6/Fbxl3/Hsp90ab1/Cul2/Rnf4/Anapc4/Klhdc10/Fbxl14/Cul4b/Psmd10/Eif2ak3/Pias1/Stt3b/Armc8/Bbs7/Usp5/Arel1/Edem3/Kbtbd7/Commd1/Pcbp2/Birc2/Spop/Ddrgk1/Pcnp",32,"green"
"GO:0022613","ribonucleoprotein complex biogenesis",0.0456553755522828,0.0140903727354758,1.22460084324908e-08,6.0146182278391e-06,4.88785180501016e-06,"Kat2b/Nob1/Rpl10/Pten/Srsf6/Aatf/Snrpf/Slu7/Hsp90aa1/Hsp90ab1/Sbds/Cdc73/Exosc8/Khdc4/Psip1/Ebna1bp2/Ddx47/Mphosph10/Mrps11/LTO1/Cul4b/Wdr3/Utp6/Ramac/Pak1ip1/Cpsf6/Npm1/Abce1/Rpl35/Lyar/Eif2s3y",31,"green"
"GO:1903829","positive regulation of protein localization",0.0456553755522828,0.0170403276185188,8.36200360589152e-07,0.00013707491836917,0.000111395580200122,"Itga3/Akt1/Emd/Dynll1/Chp1/Tsg101/Fis1/Vamp2/Hif1a/Hnrnpk/Golph3/Hsp90ab1/Actr3/Gpsm2/Hpca/Cct7/Grip2/Pak1/Stx4a/Adam9/Eif2ak3/Ptpn9/Tmem30a/Cnst/Tm7sf3/Abhd17b/Commd1/Npm1/Ddrgk1/Syt11/Nup62",31,"green"
"GO:0031647","regulation of protein stability",0.0412371134020619,0.0108627750399112,1.99988855980648e-09,1.47525112761725e-06,1.19888056295767e-06,"Rad23a/Dnaja3/Pten/Chp1/Golga7/Ube2b/Hsp90aa1/Ccnh/Fbxl3/Hsp90ab1/Snca/Hspd1/Pdcl3/Cdc73/Sec16a/Stx12/Cct7/D7Ertd443e/Hcfc1/Rnf128/Lamp1/Cdkn2aip/Morc3/Dpm3/Taf9b/Commd1/Npm1/Ddrgk1",28,"green"
"GO:0042176","regulation of protein catabolic process",0.0412371134020619,0.0136392031651281,2.59900694546829e-07,5.59898363367281e-05,4.55008135568768e-05,"Araf/Cyp51/Akt1/Rad23a/Pten/Ubb/Rnf185/Rnft1/Hsp90aa1/Hsp90ab1/Smad4/Rnf41/Snca/Pdcl3/Sec22b/Tmf1/Cul4b/Psmd10/Adam9/Pias1/Tmtc3/Bbs7/Azin1/Usp5/Arel1/Commd1/Ddrgk1/Psme3",28,"green"
