"mean_con_ng_ul","batch","period","post_idbatch","pre_idbatch","pre_idbatchcage","group","time","Postds","Postrank","Preds","Prerank","condition","wt_d4","wt_d8","wt_12"
81.1378740131697,1,"Pre","1-1Batch1","1Batch1","1Batch1Cage1","reorganized","25hr",5.45539215686275,1,5.86467447390856,1,"same",39.3,38.7,39.2
81.1378740131697,1,"Pre","1-1Batch1","1Batch1","1Batch1Cage1","reorganized","25hr",5.45539215686275,1,5.86467447390856,1,"same",39.3,38.7,39.2
71.8388019515396,1,"Post","1-1Batch1","1Batch1","1Batch1Cage1","reorganized","25hr",5.45539215686275,1,5.86467447390856,1,"same",39.3,38.7,39.2
71.8388019515396,1,"Post","1-1Batch1","1Batch1","1Batch1Cage1","reorganized","25hr",5.45539215686275,1,5.86467447390856,1,"same",39.3,38.7,39.2
178.052370976966,1,"Pre","2-1Batch1","1Batch1","1Batch1Cage2","reorganized","25hr",-4.70833333333333,4,5.59761472647135,1,"descenders",40.3,39.1,35.6
178.052370976966,1,"Pre","2-1Batch1","1Batch1","1Batch1Cage2","reorganized","25hr",-4.70833333333333,4,5.59761472647135,1,"descenders",40.3,39.1,35.6
219.444441343995,1,"Post","2-1Batch1","1Batch1","1Batch1Cage2","reorganized","25hr",-4.70833333333333,4,5.59761472647135,1,"descenders",40.3,39.1,35.6
219.444441343995,1,"Post","2-1Batch1","1Batch1","1Batch1Cage2","reorganized","25hr",-4.70833333333333,4,5.59761472647135,1,"descenders",40.3,39.1,35.6
127.636748215402,10,"Pre","3-2Batch10","2Batch10","2Batch10Cage3","reorganized","1 hr",-2.41746411483254,4,-3.57777777777778,4,"same",36.3,36.2,35.1
127.636748215402,10,"Pre","3-2Batch10","2Batch10","2Batch10Cage3","reorganized","1 hr",-2.41746411483254,4,-3.57777777777778,4,"same",36.3,36.2,35.1
339.268143707453,10,"Post","3-2Batch10","2Batch10","2Batch10Cage3","reorganized","1 hr",-2.41746411483254,4,-3.57777777777778,4,"same",36.3,36.2,35.1
339.268143707453,10,"Post","3-2Batch10","2Batch10","2Batch10Cage3","reorganized","1 hr",-2.41746411483254,4,-3.57777777777778,4,"same",36.3,36.2,35.1
