"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","direction","comparison"
"GO:0042060","wound healing",0.0517799352750809,0.012979801485389,3.35338070578873e-06,0.00249209818963708,0.00204483790731723,"Foxc2/Fbln1/Col3a1/Col1a1/Thbd/Ppl/Prkcd/Fermt3/Pdpn/C1galt1c1/Vwf/Cd34/F11r/Cxadr/Ndnf/Mtor",16,"Up","CSUB-SUB"
"GO:0030198","extracellular matrix organization",0.0485436893203883,0.0109321857430416,1.84936601722256e-06,0.00227585378571717,0.00186740318334873,"Foxc2/Fbln1/Col3a1/Gfap/Col1a1/Col5a2/Col1a2/P3h4/Adamts16/Pdpn/Slc39a8/Sox9/Ndnf/Pbxip1/Ltbp4",15,"Up","CSUB-SUB"
"GO:0043062","extracellular structure organization",0.0485436893203883,0.0109668910946068,1.92301635184819e-06,0.00227585378571717,0.00186740318334873,"Foxc2/Fbln1/Col3a1/Gfap/Col1a1/Col5a2/Col1a2/P3h4/Adamts16/Pdpn/Slc39a8/Sox9/Ndnf/Pbxip1/Ltbp4",15,"Up","CSUB-SUB"
"GO:0045229","external encapsulating structure organization",0.0485436893203883,0.011001596446172,1.99928590253339e-06,0.00227585378571717,0.00186740318334873,"Foxc2/Fbln1/Col3a1/Gfap/Col1a1/Col5a2/Col1a2/P3h4/Adamts16/Pdpn/Slc39a8/Sox9/Ndnf/Pbxip1/Ltbp4",15,"Up","CSUB-SUB"
"GO:0007264","small GTPase mediated signal transduction",0.0485436893203883,0.0149580065246061,7.37247393036842e-05,0.0170717810508348,0.0140078850758487,"Col3a1/Col1a2/Kank2/Mapkapk5/Pdpn/Bcar3/Plce1/F11r/Rap2c/Dock4/Cdh13/Cyth1/Cd2ap/Rnd2/Cyfip1",15,"Up","CSUB-SUB"
"GO:0019221","cytokine-mediated signaling pathway",0.0453074433656958,0.014610953008954,0.000204032214562875,0.023225667091074,0.0190573247426798,"Cebpa/Ccdc3/Sting1/Adar/Stat5a/Il1r1/Ptprc/Il10ra/Il13ra1/Trim56/Iigp1/Stat3/Hipk1/Irak1",14,"Up","CSUB-SUB"
"GO:0006914","autophagy",0.0453074433656958,0.0161032831262581,0.000539972308786497,0.0390263341847007,0.0320222244277331,"Gfap/Tspo/Sting1/Nupr1/Dcn/Il10ra/Trim30a/Epm2a/Iigp1/Eva1a/Usp30/Stat3/Mtor/Tsc1",14,"Up","CSUB-SUB"
"GO:0061919","process utilizing autophagic mechanism",0.0453074433656958,0.0161032831262581,0.000539972308786497,0.0390263341847007,0.0320222244277331,"Gfap/Tspo/Sting1/Nupr1/Dcn/Il10ra/Trim30a/Epm2a/Iigp1/Eva1a/Usp30/Stat3/Mtor/Tsc1",14,"Up","CSUB-SUB"
"GO:0010506","regulation of autophagy",0.0420711974110032,0.00982161449295481,1.32190531867276e-05,0.00644900951895355,0.00529159692978481,"Gfap/Tspo/Sting1/Nupr1/Dcn/Il10ra/Trim30a/Epm2a/Iigp1/Usp30/Stat3/Mtor/Tsc1",13,"Up","CSUB-SUB"
"GO:0061448","connective tissue development",0.0420711974110032,0.0102380787117374,2.04679863905681e-05,0.00873727169047375,0.00716918154890687,"Foxc2/Osr1/Col3a1/Col1a1/Prkg2/Zbtb16/Itgb8/Bmp1/Sox6/Sox9/Pbxip1/Tapt1/Chsy1",13,"Up","CSUB-SUB"
